symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
ADTRP,84830_at,0.542,0.0637522,2.004119,-4.0892,0.7726778,84830,chromosome 6 open reading frame 105
AIRIM,54955_at,0.542,0.0638133,-2.003601,-4.09,-0.4161167,54955,chromosome 1 open reading frame 109
FOXP1 intronic transcript 1 (non-protein coding),100506815_at,0.542,0.0638359,-2.003409,-4.0903,-1.3172444,100506815,FOXP1 intronic transcript 1 (non-protein coding)
CD2BP2,10421_at,0.542,0.0638372,2.003398,-4.0903,0.3711722,10421,CD2 (cytoplasmic tail) binding protein 2
PPIL1,51645_at,0.542,0.0639082,2.002795,-4.0912,0.3716667,51645,peptidylprolyl isomerase (cyclophilin)-like 1
ARNT2,9915_at,0.543,0.0640109,2.001926,-4.0925,1.6891889,9915,aryl-hydrocarbon receptor nuclear translocator 2
HEBP2,23593_at,0.544,0.0642052,-2.000284,-4.095,-0.6217222,23593,heme binding protein 2
MED17,9440_at,0.544,0.0642058,2.000279,-4.095,0.3638056,9440,mediator complex subunit 17
SDC3,9672_at,0.544,0.0642217,2.000145,-4.0952,0.4057167,9672,syndecan 3
NSL1,25936_at,0.544,0.0642285,2.000087,-4.0952,0.3901278,25936,"NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)"
B4GALT6,9331_at,0.544,0.0642733,1.999709,-4.0958,0.8813611,9331,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6"
MTAP,4507_at,0.544,0.0642848,1.999613,-4.096,1.0043778,4507,methylthioadenosine phosphorylase
KLHL31,401265_at,0.544,0.0644078,-1.998576,-4.0975,-0.2431722,401265,kelch-like 31 (Drosophila)
RPUSD4,84881_at,0.544,0.0644252,1.99843,-4.0977,0.3980722,84881,RNA pseudouridylate synthase domain containing 4
GMPPA,29926_at,0.544,0.0644255,1.998427,-4.0977,0.5770222,29926,GDP-mannose pyrophosphorylase A
NT5DC2,64943_at,0.544,0.064458,1.998154,-4.0981,0.7219556,64943,5'-nucleotidase domain containing 2
ARHGAP22,58504_at,0.545,0.0645475,1.997402,-4.0992,1.3155778,58504,Rho GTPase activating protein 22
AREL1,9870_at,0.545,0.0646069,1.996904,-4.1,0.3761,9870,KIAA0317
uncharacterized LOC93429,93429_at,0.545,0.0646084,1.996891,-4.1,0.4171556,93429,uncharacterized LOC93429
PPP1R13B,23368_at,0.545,0.0646261,-1.996742,-4.1002,-0.61305,23368,"protein phosphatase 1, regulatory subunit 13B"
MARCHF8,220972_at,0.545,0.06464,1.996626,-4.1004,0.2433833,220972,membrane-associated ring finger (C3HC4) 8
OAS1,4938_at,0.545,0.064706,-1.996073,-4.1012,-2.0805,4938,"2'-5'-oligoadenylate synthetase 1, 40/46kDa"
SLC27A3,11000_at,0.545,0.0647078,-1.996057,-4.1013,-0.9905278,11000,"solute carrier family 27 (fatty acid transporter), member 3"
IGSF22,283284_at,0.545,0.0647845,-1.995415,-4.1022,-0.4569444,283284,"immunoglobulin superfamily, member 22"
GRM1,2911_at,0.545,0.064809,-1.99521,-4.1025,-0.1947889,2911,"glutamate receptor, metabotropic 1"
IQGAP3,128239_at,0.545,0.0648334,-1.995006,-4.1028,-0.4334556,128239,IQ motif containing GTPase activating protein 3
MBTPS1,8720_at,0.545,0.0649458,1.994066,-4.1042,0.4787389,8720,"membrane-bound transcription factor peptidase, site 1"
NAP1L2,4674_at,0.545,0.0649482,1.994046,-4.1042,0.2459944,4674,nucleosome assembly protein 1-like 2
FMN2,56776_at,0.545,0.0649492,1.994038,-4.1043,1.0799444,56776,formin 2
SYS1,90196_at,0.545,0.0649521,1.994014,-4.1043,0.3914222,90196,SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)
GORAB,92344_at,0.545,0.0649634,-1.99392,-4.1044,-0.5737,92344,"golgin, RAB6-interacting"
NRBP1,29959_at,0.545,0.0650462,1.993229,-4.1055,0.6355167,29959,nuclear receptor binding protein 1
ZNF202,7753_at,0.545,0.0650669,1.993056,-4.1057,0.3615833,7753,zinc finger protein 202
RAB11B-AS1,100507567_at,0.546,0.0651654,-1.992235,-4.1069,-0.7020944,100507567,uncharacterized LOC100507567
RBAK,57786_at,0.546,0.0652332,-1.991671,-4.1078,-0.5857056,57786,RB-associated KRAB zinc finger
RBM41,55285_at,0.546,0.0652428,-1.991591,-4.1079,-0.5467667,55285,RNA binding motif protein 41
NQO1,1728_at,0.546,0.0653043,-1.99108,-4.1087,-1.73375,1728,"NAD(P)H dehydrogenase, quinone 1"
TMEM109,79073_at,0.546,0.0653126,1.991011,-4.1088,0.65075,79073,transmembrane protein 109
PACS1,55690_at,0.546,0.0653251,1.990907,-4.1089,0.36835,55690,phosphofurin acidic cluster sorting protein 1
DBF4B,80174_at,0.546,0.0653457,1.990735,-4.1092,0.2958444,80174,DBF4 homolog B (S. cerevisiae)
NTMT1,28989_at,0.546,0.0653523,1.990681,-4.1092,0.4089667,28989,methyltransferase like 11A
ZNRF1,84937_at,0.546,0.0654204,1.990116,-4.1101,0.3481056,84937,zinc and ring finger 1
MYF5,4617_at,0.546,0.0654455,-1.989908,-4.1104,-0.2667333,4617,myogenic factor 5
PPP2R1A,5518_at,0.547,0.0655628,1.988936,-4.1118,0.5999889,5518,"protein phosphatase 2, regulatory subunit A, alpha"
GFRA4,64096_at,0.547,0.0656156,-1.988499,-4.1125,-0.1811778,64096,GDNF family receptor alpha 4
SLU7,10569_at,0.547,0.0656259,-1.988413,-4.1126,-0.4640722,10569,SLU7 splicing factor homolog (S. cerevisiae)
STRN,6801_at,0.547,0.0656664,-1.988079,-4.1131,-0.4280056,6801,"striatin, calmodulin binding protein"
PHF13,148479_at,0.547,0.0657385,1.987483,-4.114,0.5456444,148479,PHD finger protein 13
INIP,58493_at,0.547,0.0657652,-1.987262,-4.1143,-0.3894389,58493,chromosome 9 open reading frame 80
LLPH,84298_at,0.547,0.0658333,1.9867,-4.1152,0.5235556,84298,"LLP homolog, long-term synaptic facilitation (Aplysia)"
DTX3,196403_at,0.547,0.0658367,1.986672,-4.1152,0.3584889,196403,deltex homolog 3 (Drosophila)
CUTC,51076_at,0.547,0.0658656,1.986434,-4.1156,0.8197611,51076,cutC copper transporter homolog (E. coli)
SERTAD1,29950_at,0.547,0.0658959,1.986183,-4.1159,0.6418611,29950,SERTA domain containing 1
CREG1,8804_at,0.547,0.0659052,-1.986107,-4.116,-0.8161611,8804,cellular repressor of E1A-stimulated genes 1
FASTKD1,79675_at,0.547,0.0659356,-1.985856,-4.1164,-0.4804778,79675,FAST kinase domains 1
CTTN,2017_at,0.547,0.0660616,1.984819,-4.118,0.4496556,2017,cortactin
CD164,8763_at,0.547,0.0660955,-1.984541,-4.1184,-0.4705556,8763,"CD164 molecule, sialomucin"
DMAC2L,27109_at,0.547,0.0661196,-1.984343,-4.1187,-0.4924333,27109,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)"
CFTR,1080_at,0.547,0.0661232,-1.984313,-4.1187,-1.8136222,1080,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
NIF3L1,60491_at,0.547,0.0662087,1.983611,-4.1198,0.5304556,60491,NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae)
HMGN3,9324_at,0.547,0.0662233,1.983492,-4.1199,0.7672,9324,high mobility group nucleosomal binding domain 3
C19orf12,83636_at,0.547,0.0662303,1.983434,-4.12,0.5716722,83636,chromosome 19 open reading frame 12
CDC42SE2,56990_at,0.547,0.0662324,-1.983417,-4.12,-0.6379167,56990,CDC42 small effector 2
LAMA4,3910_at,0.547,0.0662524,-1.983253,-4.1203,-0.6915111,3910,"laminin, alpha 4"
TMEM154,201799_at,0.547,0.0662592,-1.983197,-4.1204,-1.3763944,201799,transmembrane protein 154
SOX5,6660_at,0.547,0.0663208,1.982692,-4.1211,0.3204278,6660,SRY (sex determining region Y)-box 5
MAGI2-AS3,100505881_at,0.547,0.0663581,1.982387,-4.1216,1.2366556,100505881,MAGI2 antisense RNA 3 (non-protein coding)
C4BPA,722_at,0.547,0.0664202,-1.981878,-4.1223,-0.6418278,722,"complement component 4 binding protein, alpha"
GK5,256356_at,0.547,0.0664774,-1.98141,-4.123,-0.5868056,256356,glycerol kinase 5 (putative)
PHKB,5257_at,0.547,0.0665043,-1.98119,-4.1233,-0.5174667,5257,"phosphorylase kinase, beta"
BPIFB6,128859_at,0.547,0.0665228,-1.981039,-4.1236,-0.2553056,128859,"BPI fold containing family B, member 6"
GCNT7,140687_at,0.547,0.0665428,-1.980875,-4.1238,-0.1647,140687,glucosaminyl (N-acetyl) transferase family member 7
FNDC11,79025_at,0.547,0.0665604,1.980731,-4.124,0.3705111,79025,chromosome 20 open reading frame 195
DZANK1,55184_at,0.547,0.0665708,1.980647,-4.1241,0.2951556,55184,double zinc ribbon and ankyrin repeat domains 1
CHST14,113189_at,0.547,0.0666167,1.980272,-4.1247,0.8569889,113189,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
LINC01618,152578_at,0.547,0.0666252,-1.980202,-4.1248,-0.1848,152578,uncharacterized LOC152578
PRMT3,10196_at,0.547,0.0666317,-1.98015,-4.1249,-0.4172167,10196,protein arginine methyltransferase 3
GALNT16,57452_at,0.547,0.0666362,1.980113,-4.1249,0.9801444,57452,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1
PPP1R18,170954_at,0.547,0.0666611,1.979909,-4.1252,1.0368556,170954,"protein phosphatase 1, regulatory subunit 18"
GPATCH2L,55668_at,0.547,0.0666623,1.9799,-4.1253,0.3677667,55668,chromosome 14 open reading frame 118
NFYA,4800_at,0.547,0.0667043,1.979558,-4.1258,0.3302278,4800,"nuclear transcription factor Y, alpha"
uncharacterized LOC255167,255167_at,0.547,0.0667049,-1.979553,-4.1258,-0.1796778,255167,uncharacterized LOC255167
BCL6,604_at,0.547,0.0667051,1.979551,-4.1258,0.5559833,604,B-cell CLL/lymphoma 6
HK1,3098_at,0.547,0.0668569,1.978315,-4.1276,1.4128167,3098,hexokinase 1
PLA2G4C,8605_at,0.547,0.0668679,1.978225,-4.1277,0.4327778,8605,"phospholipase A2, group IVC (cytosolic, calcium-independent)"
FAM162B,221303_at,0.547,0.0668914,-1.978034,-4.128,-0.3120722,221303,"family with sequence similarity 162, member B"
CHFR,55743_at,0.547,0.0668935,1.978017,-4.128,1.3962889,55743,checkpoint with forkhead and ring finger domains
CAPZA2,830_at,0.547,0.0669079,-1.9779,-4.1282,-0.7113389,830,"capping protein (actin filament) muscle Z-line, alpha 2"
C11orf42,160298_at,0.548,0.0669739,-1.977364,-4.129,-0.1865167,160298,chromosome 11 open reading frame 42
RPGR,6103_at,0.548,0.0669809,-1.977307,-4.1291,-0.7248611,6103,retinitis pigmentosa GTPase regulator
NKX2-2,4821_at,0.548,0.0670861,1.976454,-4.1304,1.2929278,4821,NK2 homeobox 2
PTHLH,5744_at,0.548,0.067164,1.975822,-4.1313,0.2239056,5744,parathyroid hormone-like hormone
GNB4,59345_at,0.548,0.0672343,1.975253,-4.1321,1.02145,59345,"guanine nucleotide binding protein (G protein), beta polypeptide 4"
NAGK,55577_at,0.548,0.0672533,1.975099,-4.1324,0.72115,55577,N-acetylglucosamine kinase
TRPV2,51393_at,0.548,0.0672601,1.975044,-4.1324,0.8549444,51393,"transient receptor potential cation channel, subfamily V, member 2"
SLC30A3,7781_at,0.548,0.0673047,1.974684,-4.133,0.3689278,7781,"solute carrier family 30 (zinc transporter), member 3"
RSKR,124923_at,0.548,0.0673051,1.97468,-4.133,0.4667389,124923,uncharacterized serine/threonine-protein kinase SgK494
PBX2,5089_at,0.548,0.0673114,1.974629,-4.1331,0.4573889,5089,pre-B-cell leukemia homeobox 2
MED16,10025_at,0.548,0.0673338,1.974448,-4.1333,0.6960833,10025,mediator complex subunit 16
NEU1,4758_at,0.549,0.0674277,1.97369,-4.1345,0.9712722,4758,sialidase 1 (lysosomal sialidase)
JCAD,57608_at,0.549,0.0674616,1.973416,-4.1349,1.0533833,57608,KIAA1462
ZNF668,79759_at,0.549,0.0675911,1.972372,-4.1364,0.3558278,79759,zinc finger protein 668
NUBP1,4682_at,0.549,0.0676066,1.972247,-4.1366,0.3930778,4682,nucleotide binding protein 1
SYTL2,54843_at,0.549,0.0676347,-1.972021,-4.1369,-1.5078111,54843,synaptotagmin-like 2
RETSAT,54884_at,0.549,0.0676817,-1.971643,-4.1375,-0.8121056,54884,"retinol saturase (all-trans-retinol 13,14-reductase)"
PPIP5K1,9677_at,0.549,0.0676858,-1.97161,-4.1375,-0.4834389,9677,diphosphoinositol pentakisphosphate kinase 1
GOSR2,9570_at,0.549,0.0677514,1.971082,-4.1383,0.3796167,9570,golgi SNAP receptor complex member 2
SSUH2,51066_at,0.549,0.0677607,-1.971008,-4.1384,-0.4606389,51066,chromosome 3 open reading frame 32
PLA2G15,23659_at,0.549,0.067779,1.970861,-4.1386,0.6975167,23659,"phospholipase A2, group XV"
VASH1,22846_at,0.549,0.0678024,1.970673,-4.1389,0.7397611,22846,vasohibin 1
uncharacterized LOC100505760,100505760_at,0.549,0.0678304,-1.970448,-4.1393,-0.5957667,100505760,uncharacterized LOC100505760
LSM10,84967_at,0.549,0.0678697,1.970132,-4.1397,0.5043944,84967,"LSM10, U7 small nuclear RNA associated"
BTN1A1,696_at,0.549,0.0679011,-1.96988,-4.1401,-0.2519111,696,"butyrophilin, subfamily 1, member A1"
LINC02431,100506122_at,0.549,0.0679084,-1.969822,-4.1402,-0.2083,100506122,uncharacterized LOC100506122
GTF2F2,2963_at,0.549,0.0679343,-1.969614,-4.1405,-0.6463667,2963,"general transcription factor IIF, polypeptide 2, 30kDa"
ITPKA,3706_at,0.549,0.0679519,-1.969473,-4.1407,-0.7681833,3706,inositol-trisphosphate 3-kinase A
PRSS30P,124221_at,0.55,0.068,1.969088,-4.1413,0.25385,124221,"protease, serine, 30 homolog (mouse), pseudogene"
ADAMTS6,11174_at,0.55,0.068106,1.968239,-4.1425,1.0221167,11174,"ADAM metallopeptidase with thrombospondin type 1 motif, 6"
COL13A1,1305_at,0.55,0.0681215,1.968115,-4.1427,0.9035,1305,"collagen, type XIII, alpha 1"
CLMN,79789_at,0.55,0.0681358,-1.968001,-4.1429,-0.8121278,79789,"calmin (calponin-like, transmembrane)"
PCDHB16,57717_at,0.55,0.0681564,1.967836,-4.1431,1.0989222,57717,protocadherin beta 16
CPA4,51200_at,0.55,0.0682207,1.967323,-4.1439,1.4545778,51200,carboxypeptidase A4
ELMO2,63916_at,0.55,0.0682329,1.967225,-4.144,0.4171111,63916,engulfment and cell motility 2
MRPL20-AS1,148413_at,0.55,0.0682342,1.967215,-4.144,0.4189222,148413,uncharacterized LOC148413
IFITM10,402778_at,0.55,0.0682599,-1.96701,-4.1443,-0.3778778,402778,interferon induced transmembrane protein 10
KRT9,3857_at,0.55,0.0683772,-1.966074,-4.1457,-0.2087944,3857,keratin 9
NEURL4,84461_at,0.55,0.0683993,1.965898,-4.146,0.4393,84461,neuralized homolog 4 (Drosophila)
TMEM54,113452_at,0.55,0.0684174,-1.965754,-4.1462,-1.0875611,113452,transmembrane protein 54
PITX2,5308_at,0.55,0.06843,-1.965653,-4.1463,-1.4380944,5308,paired-like homeodomain 2
DYRK4,8798_at,0.55,0.0684611,-1.965406,-4.1467,-1.0325222,8798,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
ACBD4,79777_at,0.55,0.0685218,-1.964923,-4.1474,-0.3888556,79777,acyl-CoA binding domain containing 4
PPP1CA,5499_at,0.55,0.0685959,1.964333,-4.1483,0.4083889,5499,"protein phosphatase 1, catalytic subunit, alpha isozyme"
PTPN1,5770_at,0.55,0.068631,1.964054,-4.1487,0.7648556,5770,"protein tyrosine phosphatase, non-receptor type 1"
FUBP1,8880_at,0.55,0.0686723,1.963726,-4.1492,0.4349556,8880,far upstream element (FUSE) binding protein 1
CREB3,10488_at,0.55,0.0686833,1.963639,-4.1493,0.3759722,10488,cAMP responsive element binding protein 3
RFTN1,23180_at,0.55,0.068689,1.963594,-4.1494,1.2936389,23180,"raftlin, lipid raft linker 1"
MAP1B,4131_at,0.55,0.0687012,1.963497,-4.1495,1.5905167,4131,microtubule-associated protein 1B
H2BC21,8349_at,0.55,0.0687032,-1.963481,-4.1495,-1.0458556,8349,"histone cluster 2, H2be"
ING3,54556_at,0.551,0.0688139,-1.962604,-4.1508,-0.5503722,54556,"inhibitor of growth family, member 3"
DKK2,27123_at,0.551,0.0688923,1.961982,-4.1518,1.1822222,27123,dickkopf 2 homolog (Xenopus laevis)
CYB5R3,1727_at,0.551,0.0689067,1.961869,-4.1519,0.6282889,1727,cytochrome b5 reductase 3
NKIRAS2,28511_at,0.551,0.0689252,1.961722,-4.1521,0.3569,28511,NFKB inhibitor interacting Ras-like 2
WNT16,51384_at,0.551,0.0689395,1.961609,-4.1523,1.1280722,51384,"wingless-type MMTV integration site family, member 16"
PTPN21,11099_at,0.551,0.0689727,1.961346,-4.1527,0.4083222,11099,"protein tyrosine phosphatase, non-receptor type 21"
SLCO1C1,53919_at,0.551,0.0689933,-1.961184,-4.1529,-0.1874556,53919,"solute carrier organic anion transporter family, member 1C1"
GNG11,2791_at,0.552,0.0691882,1.959644,-4.1552,1.7478056,2791,"guanine nucleotide binding protein (G protein), gamma 11"
TMEM176B,28959_at,0.552,0.0692022,-1.959535,-4.1554,-1.4453167,28959,transmembrane protein 176B
INCENP,3619_at,0.553,0.0693767,1.95816,-4.1574,0.5078444,3619,inner centromere protein antigens 135/155kDa
EDC4,23644_at,0.553,0.0694203,1.957817,-4.1579,0.50895,23644,enhancer of mRNA decapping 4
IRF8,3394_at,0.554,0.069479,-1.957356,-4.1586,-1.5463778,3394,interferon regulatory factor 8
MEP1A,4224_at,0.554,0.0694912,-1.95726,-4.1587,-1.7399667,4224,"meprin A, alpha (PABA peptide hydrolase)"
SUPT4H1,6827_at,0.554,0.0695342,1.956922,-4.1592,0.7817056,6827,suppressor of Ty 4 homolog 1 (S. cerevisiae)
CBLC,23624_at,0.554,0.0695711,-1.956633,-4.1596,-1.5921611,23624,Cas-Br-M (murine) ecotropic retroviral transforming sequence c
uncharacterized LOC100506415,100506415_at,0.554,0.0696548,1.955977,-4.1606,0.18515,100506415,uncharacterized LOC100506415
FOCAD,54914_at,0.554,0.0696555,1.955971,-4.1606,0.5493111,54914,KIAA1797
RMI1,80010_at,0.554,0.06971,-1.955544,-4.1612,-0.4196778,80010,"RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)"
HGS,9146_at,0.554,0.0697386,1.95532,-4.1616,0.5582167,9146,hepatocyte growth factor-regulated tyrosine kinase substrate
NDEL1,81565_at,0.554,0.0697692,1.955081,-4.1619,0.3866056,81565,nudE nuclear distribution gene E homolog (A. nidulans)-like 1
CYSTM1,84418_at,0.554,0.0698079,-1.954778,-4.1624,-1.4327833,84418,chromosome 5 open reading frame 32
SP3,6670_at,0.554,0.0698427,-1.954506,-4.1628,-0.3251333,6670,Sp3 transcription factor
PCDHB8,56128_at,0.554,0.0698738,1.954262,-4.1631,0.3095889,56128,protocadherin beta 8
PLEKHS1,79949_at,0.554,0.069888,-1.954151,-4.1633,-0.6395611,79949,chromosome 10 open reading frame 81
SERTAD3,29946_at,0.554,0.0699122,1.953963,-4.1636,0.8510278,29946,SERTA domain containing 3
PELI2,57161_at,0.555,0.0700326,-1.953023,-4.165,-1.2899944,57161,pellino homolog 2 (Drosophila)
HSD17B12,51144_at,0.555,0.0700527,-1.952866,-4.1652,-0.4636111,51144,hydroxysteroid (17-beta) dehydrogenase 12
MMP21,118856_at,0.555,0.07011,-1.952419,-4.1658,-0.1652056,118856,matrix metallopeptidase 21
WHAMM,123720_at,0.555,0.0701485,-1.95212,-4.1663,-0.46855,123720,"WAS protein homolog associated with actin, golgi membranes and microtubules"
DLEU2,8847_at,0.555,0.0701488,-1.952117,-4.1663,-0.2614667,8847,deleted in lymphocytic leukemia 2 (non-protein coding)
C22orf23,84645_at,0.555,0.0702436,1.951379,-4.1674,0.2756778,84645,chromosome 22 open reading frame 23
PRDM10,56980_at,0.555,0.0702928,1.950997,-4.1679,0.2527167,56980,PR domain containing 10
SIRT5,23408_at,0.555,0.0702931,-1.950995,-4.1679,-0.3193611,23408,sirtuin 5
MAGEF1,64110_at,0.556,0.0704001,1.950163,-4.1692,0.4782111,64110,"melanoma antigen family F, 1"
GIPC2,54810_at,0.556,0.0704258,-1.949964,-4.1695,-2.1869278,54810,"GIPC PDZ domain containing family, member 2"
ASB16-AS1,339201_at,0.556,0.070445,1.949815,-4.1697,0.3256556,339201,chromosome 17 open reading frame 65
PAXIP1-DT,202781_at,0.557,0.0706712,-1.948063,-4.1722,-0.6703667,202781,uncharacterized LOC202781
ENTREP1,9413_at,0.557,0.0706937,1.947888,-4.1725,0.5794222,9413,"family with sequence similarity 189, member A2"
B3GLCT,145173_at,0.557,0.0707571,1.947398,-4.1732,0.5926889,145173,"beta 1,3-galactosyltransferase-like"
GRINA,2907_at,0.557,0.0708118,1.946976,-4.1738,0.7405611,2907,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)"
CDH4,1002_at,0.557,0.0708338,1.946806,-4.1741,0.5918889,1002,"cadherin 4, type 1, R-cadherin (retinal)"
PRKAR1A,5573_at,0.557,0.0708515,1.946669,-4.1743,0.4659722,5573,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
COQ10A,93058_at,0.557,0.0708571,1.946626,-4.1744,0.8009278,93058,coenzyme Q10 homolog A (S. cerevisiae)
RAB40C,57799_at,0.557,0.0708578,-1.946621,-4.1744,-0.4250167,57799,"RAB40C, member RAS oncogene family"
MED25,81857_at,0.557,0.0709988,1.945534,-4.176,0.5890056,81857,mediator complex subunit 25
PRB3,5544_at,0.557,0.0710353,-1.945253,-4.1764,-0.3085222,5544,proline-rich protein BstNI subfamily 3
HYCC2,285172_at,0.557,0.0710377,-1.945234,-4.1764,-0.5897333,285172,"family with sequence similarity 126, member B"
EPB41L2,2037_at,0.557,0.0710603,-1.94506,-4.1767,-1.45205,2037,erythrocyte membrane protein band 4.1-like 2
TUBB4A,10382_at,0.557,0.0710792,1.944914,-4.1769,0.5031778,10382,"tubulin, beta 4A class IVa"
LPGAT1,9926_at,0.557,0.0710963,-1.944783,-4.1771,-0.5327944,9926,lysophosphatidylglycerol acyltransferase 1
RNGTT,8732_at,0.557,0.0711028,1.944733,-4.1771,0.4438444,8732,RNA guanylyltransferase and 5'-phosphatase
"cat eye syndrome chromosome region, candidate 7 (non-protein coding)",100130418_at,0.557,0.0711032,1.94473,-4.1771,0.2792889,100130418,"cat eye syndrome chromosome region, candidate 7 (non-protein coding)"
ZNF524,147807_at,0.557,0.0712222,-1.943815,-4.1785,-0.2385222,147807,zinc finger protein 524
BBS10,79738_at,0.557,0.071227,1.943778,-4.1785,0.4980056,79738,Bardet-Biedl syndrome 10
PLOD3,8985_at,0.557,0.0712372,-1.9437,-4.1787,-0.7467167,8985,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
uncharacterized LOC100652768,100652768_at,0.557,0.0712401,-1.943678,-4.1787,-0.3963333,100652768,uncharacterized LOC100652768
CD33,945_at,0.557,0.0713039,1.943188,-4.1794,0.5004944,945,CD33 molecule
IWS1,55677_at,0.557,0.0713104,1.943138,-4.1795,0.4020222,55677,IWS1 homolog (S. cerevisiae)
LRRC3B,116135_at,0.557,0.0713152,1.943101,-4.1795,0.2363167,116135,leucine rich repeat containing 3B
FDXR,2232_at,0.557,0.0713342,1.942955,-4.1797,0.7720167,2232,ferredoxin reductase
RSPH14,27156_at,0.557,0.0714004,-1.942448,-4.1805,-0.29855,27156,rhabdoid tumor deletion region gene 1
ADAMTS18,170692_at,0.557,0.0714101,1.942373,-4.1806,0.6743611,170692,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
P2RX1,5023_at,0.557,0.0714319,-1.942207,-4.1808,-0.2003722,5023,"purinergic receptor P2X, ligand-gated ion channel, 1"
BRMS1,25855_at,0.557,0.0714642,1.941959,-4.1812,0.5116056,25855,breast cancer metastasis suppressor 1
PRDX6,9588_at,0.557,0.0714905,1.941757,-4.1815,0.2682778,9588,peroxiredoxin 6
CLR pseudogene,374443_at,0.557,0.0714976,1.941703,-4.1816,0.6531667,374443,CLR pseudogene
SMO,6608_at,0.557,0.0714996,1.941688,-4.1816,0.3370111,6608,"smoothened, frizzled family receptor"
fer-1-like 4 (C. elegans) pseudogene,80307_at,0.557,0.0715599,-1.941226,-4.1823,-0.4107444,80307,fer-1-like 4 (C. elegans) pseudogene
PPTC7,160760_at,0.557,0.0716198,-1.940769,-4.183,-0.6335056,160760,PTC7 protein phosphatase homolog (S. cerevisiae)
MED27,9442_at,0.558,0.071671,1.940378,-4.1835,0.4289167,9442,mediator complex subunit 27
PXK,54899_at,0.558,0.0717365,-1.939878,-4.1843,-0.5276111,54899,PX domain containing serine/threonine kinase
ACOT6,641372_at,0.558,0.0717825,-1.939526,-4.1848,-0.1836833,641372,acyl-CoA thioesterase 6
PDCD11,22984_at,0.558,0.0717952,1.93943,-4.1849,0.5301444,22984,programmed cell death 11
CHMP7,91782_at,0.558,0.0718115,1.939305,-4.1851,0.6066833,91782,charged multivesicular body protein 7
PC,5091_at,0.558,0.0718538,1.938983,-4.1856,0.8169389,5091,pyruvate carboxylase
CALML4,91860_at,0.558,0.0718787,-1.938793,-4.1859,-1.2975556,91860,calmodulin-like 4
LINC01016,100507584_at,0.558,0.0719007,-1.938626,-4.1861,-0.2037944,100507584,uncharacterized LOC100507584
CHST10,9486_at,0.558,0.0719951,1.937907,-4.1872,0.8148833,9486,carbohydrate sulfotransferase 10
HAGLR,401022_at,0.558,0.0720034,-1.937844,-4.1872,-0.5567889,401022,uncharacterized LOC401022
VARS2,57176_at,0.558,0.0720419,1.937551,-4.1877,0.6475833,57176,"valyl-tRNA synthetase 2, mitochondrial (putative)"
GPC6,10082_at,0.558,0.0721353,1.936841,-4.1887,0.9584278,10082,glypican 6
IGDCC3,9543_at,0.558,0.0721785,1.936514,-4.1892,0.9134444,9543,"immunoglobulin superfamily, DCC subclass, member 3"
MIS18A,54069_at,0.558,0.072183,1.936479,-4.1892,0.3789556,54069,MIS18 kinetochore protein homolog A (S. pombe)
ARMT1,79624_at,0.558,0.0721877,-1.936444,-4.1893,-0.5840056,79624,chromosome 6 open reading frame 211
NDRG3,57446_at,0.558,0.0721933,1.936402,-4.1894,0.5628556,57446,NDRG family member 3
RRN3,54700_at,0.558,0.0722149,-1.936238,-4.1896,-0.6371389,54700,RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)
MAFG,4097_at,0.558,0.0722185,1.93621,-4.1896,0.3009833,4097,v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)
SYMPK,8189_at,0.558,0.0722621,1.93588,-4.1901,0.5209889,8189,symplekin
ENOX2,10495_at,0.558,0.0722901,-1.935668,-4.1904,-0.4880333,10495,ecto-NOX disulfide-thiol exchanger 2
C1GALT1,56913_at,0.558,0.0724272,-1.934629,-4.192,-0.5352389,56913,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
LGALS8-AS1,100287902_at,0.558,0.0724719,-1.934291,-4.1924,-0.2578167,100287902,LGALS8 antisense RNA 1 (non-protein coding)
NELFE,7936_at,0.558,0.0724769,1.934253,-4.1925,0.3146667,7936,RD RNA binding protein
A1BG,1_at,0.558,0.0724849,1.934193,-4.1926,0.8866389,1,alpha-1-B glycoprotein
FXYD6,53826_at,0.558,0.0725706,1.933545,-4.1935,1.1554111,53826,FXYD domain containing ion transport regulator 6
